Topic,Question,a,b,c,d,Correct Answer,Difficulty,Cognitive Level,Subject
Device Drivers and System Calls,What is a device driver stack?,A hierarchy of device drivers that are used to control a device,A hierarchy of system calls that are used to interact with a device,A hierarchy of operating systems that are used to control a device,A hierarchy of programs that are used to interact with a device,a,hard,analyzing,OS
Device Drivers and System Calls,Which of the following is NOT a type of device driver?,User mode driver,Kernel mode driver,Virtual mode driver,Hardware mode driver,c,hard,applying,OS
Device Drivers and System Calls,Which type of system call is used to create a new process?,Process management system call,Memory management system call,File system system call,Device driver system call,a,hard,applying,OS
Device Drivers and System Calls,Which of the following is a system call used to interact with hardware devices?,ioctl(),open(),close(),read(),a,medium,understanding,OS
Device Drivers and System Calls,Which of the following is a benefit of using system calls for I/O operations instead of using library functions?,Improved security,Improved performance,Improved functionality,Improved compatibility,a,medium,understanding,OS
Device Drivers and System Calls,Which of the following is a system call used to obtain the current time on the system?,time(),gettimeofday(),ctime(),mktime(),b,medium,understanding,OS
Device Drivers and System Calls,Which of the following is a system call used to change the permissions of a file?,chmod(),chown(),rename(),unlink(),a,medium,understanding,OS
Device Drivers and System Calls,Which of the following is a function used to register a device driver with the operating system?,request_irq(),register_chrdev(),open(),ioctl(),b,hard,applying,OS
Device Drivers and System Calls,Which of the following is NOT a type of system call?,Process management system call,Memory management system call,File system system call,Hardware management system call,d,easy,remembering,OS
Device Drivers and System Calls,What is the main difference between a system call and a library call?,A system call is executed in kernel mode while a library call is executed in user mode.,A library call is executed in kernel mode while a system call is executed in user mode.,A system call is used to manage memory while a library call is used to manage processes.,A library call is used to interact with hardware devices while a system call is used for I/O operations.,a,hard,applying,OS
Introduction to Operating Systems,What is an operating system?,A program that manages computer hardware,A program that manages computer software,A program that manages computer peripherals,A program that manages computer network,a,easy,remembering,OS
Introduction to Operating Systems,What are the main functions of an operating system?,Resource management,Security and protection,User interface,All of the above,d,medium,understanding,OS
Introduction to Operating Systems,What is the kernel of an operating system?,The central component that provides basic services for all other parts of the OS,A graphical interface that allows users to interact with the OS,A utility program that manages hardware and software resources,An application program that runs on the OS,a,hard,applying,OS
Introduction to Operating Systems,What is a shell in an operating system?,A program that provides a user interface for accessing operating system services,The central component of an operating system that manages hardware and software resources,A utility program that manages file systems and storage devices,An application program that runs on the OS,a,medium,understanding,OS
Introduction to Operating Systems,What is a process in an operating system?,A program that is currently executing,The physical hardware on which the operating system runs,The file system that stores the operating system,The user interface that allows users to interact with the operating system,a,medium,understanding,OS
Introduction to Operating Systems,What is a thread in an operating system?,A lightweight process that shares the same memory space as its parent process,A separate instance of the operating system that runs in parallel with other instances,A special type of file that stores data in a structured format,A program that is currently executing,a,hard,applying,OS
Introduction to Operating Systems,What is a scheduler in an operating system?,A component that determines which process/thread should run next,A program that manages file systems and storage devices,A utility that allows users to configure system settings,A graphical interface that allows users to interact with the OS,a,medium,understanding,OS
Introduction to Operating Systems,What is virtual memory in an operating system?,A technique that allows the OS to use more memory than is physically available,A utility that manages hardware and software resources,A program that provides a user interface for accessing operating system services,A special type of file that stores data in a structured format,a,hard,applying,OS
Introduction to Operating Systems,What is a device driver in an operating system?,A program that allows the operating system to communicate with hardware devices,A program that manages file systems and storage devices,A utility that allows users to configure system settings,A graphical interface that allows users to interact with the OS,a,medium,understanding,OS
Introduction to Operating Systems,What is a system call in an operating system?,An interface between a process and the operating system,A program that provides a user interface for accessing operating system services,A utility that manages hardware and software resources,A special type of file that stores data in a structured format,a,hard,applying,OS
Operating System Architecture and Components,What is the main function of the kernel in an operating system?,Manages user interfaces,Manages hardware resources,Manages file systems,Manages security,b,easy,understanding,OS
Operating System Architecture and Components,Which of the following is a component of the operating system that manages the allocation of system resources to applications?,File system,Kernel,Device drivers,System calls,b,medium,understanding,OS
Operating System Architecture and Components,Which of the following components is responsible for translating high-level programming languages into machine code that can be executed by the computer?,Compiler,Interpreter,Assembler,Linker,a,medium,applying,OS
Operating System Architecture and Components,What is the role of the shell in an operating system?,Manages hardware resources,Manages user interfaces,Manages file systems,Manages security,b,easy,understanding,OS
Operating System Architecture and Components,Which of the following is a component of an operating system that manages the communication between hardware and software components?,Kernel,File system,Device drivers,System calls,c,medium,applying,OS
Operating System Architecture and Components,Which of the following is a type of operating system architecture that allows multiple tasks to run concurrently?,Single-tasking,Multi-tasking,Real-time,Embedded,b,medium,understanding,OS
Operating System Architecture and Components,Which of the following is a component of an operating system that provides a consistent interface for interacting with hardware devices?,Kernel,File system,Device drivers,System calls,c,medium,understanding,OS
Operating System Architecture and Components,What is the purpose of the interrupt handler in an operating system?,To handle user input,To manage hardware resources,To allocate system resources,To respond to hardware events,d,hard,applying,OS
Operating System Architecture and Components,Which of the following is a component of an operating system that manages the storage and retrieval of data from secondary storage devices?,Kernel,File system,Device drivers,System calls,b,medium,understanding,OS
Operating System Architecture and Components,What is the purpose of the virtual memory manager in an operating system?,To manage the allocation of physical memory,To manage the allocation of virtual memory,To manage the allocation of file system space,To manage the allocation of system resources,b,hard,applying,OS
Process Management,What is a process?,A program in execution,An application program,An operating system,An input/output device,a,easy,remembering,OS
Process Management,What is a process control block (PCB)?,A data structure used to store information about a process,An output device used to display process information,An input device used to receive process information,An algorithm used to control process execution,a,medium,applying,OS
Process Management,What is a context switch?,The process of saving the context of one process and restoring the context of another process,The process of switching between user mode and kernel mode,The process of creating a new process,The process of destroying a process,a,medium,analyzing,OS
Process Management,What is a process scheduling algorithm?,An algorithm used by the operating system to determine which process should be executed next,An algorithm used by a user to determine which process should be executed next,An algorithm used by the processor to determine which process should be executed next,An algorithm used by the memory management unit to determine which process should be executed next,a,hard,analyzing,OS
Process Management,What is a deadlock?,A situation where two or more processes are unable to proceed because they are waiting for each other to release resources,A situation where a process has completed its execution,A situation where a process has terminated abnormally,A situation where a process has terminated normally,b,medium,analyzing,OS
Process Management,What is a race condition?,A situation where the behavior of a system depends on the order in which events occur,A situation where two processes are unable to proceed because they are waiting for each other to release resources,A situation where a process has completed its execution,A situation where a process has terminated abnormally,a,medium,analyzing,OS
Process Management,What is a thread?,A lightweight process,An operating system,A program in execution,An input/output device,a,easy,remembering,OS
Process Management,What is the difference between a process and a thread?,A process is an independent program with its own memory space while a thread is a subset of a process,A process is a subset of a thread while a thread is an independent program with its own memory space,A process and a thread are the same thing,A process is a program in execution while a thread is an operating system,a,medium,applying,OS
Process Management,What is process synchronization?,The process of coordinating the execution of multiple processes to ensure correct and consistent results,A situation where two or more processes are unable to proceed because they are waiting for each other to release resources,A situation where a process has completed its execution,A situation where a process has terminated abnormally,a,medium,analyzing,OS
Process Management,What is interprocess communication (IPC)?,A mechanism for processes to communicate and synchronize with each other,The process of creating a new process,The process of destroying a process,The process of switching between user mode and kernel mode,a,medium,analyzing,OS
Memory Management,Which of the following is not a primary function of an operating system's memory management system?,Allocation,Deallocation,Defragmentation,Protection,c,medium,analyzing,OS
Memory Management,Which memory allocation algorithm has a simple idea of dividing memory into equal-sized partitions at system startup?,First-fit algorithm,Best-fit algorithm,Worst-fit algorithm,Quick-fit algorithm,a,medium,understanding,OS
Memory Management,Which memory allocation algorithm always searches the entire memory list beginning with the smallest block that is big enough to satisfy a request?,First-fit algorithm,Best-fit algorithm,Worst-fit algorithm,Quick-fit algorithm,b,hard,applying,OS
Memory Management,Which of the following is not a benefit of using virtual memory?,Increased program capacity,Protection of memory space,Reduced external fragmentation,Reduced internal fragmentation,d,medium,understanding,OS
Memory Management,Which of the following is the process of bringing a page from secondary memory into main memory?,Page replacement,Page fault,Page hit,Page thrashing,b,easy,remembering,OS
Memory Management,Which of the following is a technique used by an operating system to manage and minimize the amount of physical memory required by a process?,Paging,Swapping,Fragmentation,Virtualization,a,hard,analyzing,OS
Memory Management,Which memory allocation algorithm selects the block that is closest in size to the requested size but not smaller than the requested size?,First-fit algorithm,Best-fit algorithm,Worst-fit algorithm,Quick-fit algorithm,b,medium,applying,OS
Memory Management,Which of the following is a measure of how quickly data can be accessed from a particular location in memory?,Latency,Bandwidth,Throughput,Access time,d,medium,understanding,OS
Memory Management,Which of the following is a memory management scheme that allows the physical address space of a process to be non-contiguous?,Contiguous allocation,Paging,Swapping,Segmentation,d,hard,analyzing,OS
Memory Management,Which of the following is not a commonly used page replacement algorithm?,FIFO,LRU,MRU,NRU,c,easy,applying,OS
File Systems and Management,Which of the following is the correct definition of a file system?,A way to organize and store data on a storage medium,An algorithm for compressing data,An application that manages file permissions,An interface for communicating with peripheral devices,a,medium,understanding,OS
File Systems and Management,What is the function of a directory in a file system?,To organize files and folders,To compress data,To manage file permissions,To communicate with peripheral devices,a,medium,understanding,OS
File Systems and Management,What is a file allocation table (FAT)?,A table that maps file names to their corresponding locations on a storage medium,A table that stores information about file compression,An algorithm for managing file permissions,An interface for communicating with peripheral devices,a,hard,applying,OS
File Systems and Management,What is fragmentation in a file system?,When a file is divided into many pieces and stored in non-contiguous locations on a storage medium,When a file is compressed and stored in a smaller space,When a file is encrypted for security reasons,When a file is stored in a directory with too many other files,a,hard,analyzing,OS
File Systems and Management,What is a symbolic link in a file system?,A type of file that contains only pointers to other files or directories,A file that contains the contents of another file,A file that is compressed for storage,A file that is encrypted for security reasons,a,hard,analyzing,OS
File Systems and Management,Which of the following is not a common file system used in modern operating systems?,NTFS,Ext4,FAT32,MS-DOS,d,medium,applying,OS
File Systems and Management,Which of the following file systems is used by default in macOS?,HFS+,NTFS,Ext4,FAT32,a,easy,understanding,OS
File Systems and Management,Which file system was introduced with Windows Vista?,FAT32,ExFAT,NTFS,ReFS,d,hard,analyzing,OS
File Systems and Management,Which of the following is not a type of file allocation used in file systems?,Linked allocation,Indexed allocation,Contiguous allocation,Binary allocation,d,hard,analyzing,OS
File Systems and Management,What is the maximum file size supported by the FAT32 file system?,2 GB,4 GB,8 GB,16 GB,b,medium,analyzing,OS
Input/Output (I/O) Management,Which of the following is true about synchronous I/O?,The calling process blocks until the I/O operation completes,Synchronous I/O is non-blocking,Synchronous I/O is used only for network communication,All of the above,a,medium,applying,OS
Input/Output (I/O) Management,Which of the following is true about asynchronous I/O?,The calling process does not block until the I/O operation completes,Asynchronous I/O is blocking,Asynchronous I/O is used only for file I/O operations,All of the above,a,medium,applying,OS
Input/Output (I/O) Management,Which of the following I/O models provides the best performance?,Asynchronous I/O,Synchronous I/O,Polling,Interrupt-driven I/O,a,hard,analyzing,OS
Input/Output (I/O) Management,What is the purpose of a device driver?,To provide an interface between the operating system and a specific hardware device,To manage the allocation of memory to processes,To schedule processes for execution,To provide an interface between the CPU and the memory,a,easy,understanding,OS
Input/Output (I/O) Management,What is the purpose of an interrupt handler?,To handle interrupts generated by hardware devices,To allocate memory to processes,To schedule processes for execution,To provide an interface between the CPU and the memory,a,medium,analyzing,OS
Input/Output (I/O) Management,What is the purpose of DMA (Direct Memory Access)?,To allow devices to transfer data directly to/from memory without involving the CPU,To allocate memory to processes,To schedule processes for execution,To provide an interface between the CPU and the memory,a,medium,analyzing,OS
Input/Output (I/O) Management,What is the difference between polling and interrupt-driven I/O?,Polling involves the CPU checking a device for data while interrupt-driven I/O involves the device generating an interrupt to the CPU when it has data to transfer,Polling is faster than interrupt-driven I/O,Polling is more efficient than interrupt-driven I/O,There is no difference between polling and interrupt-driven I/O,a,medium,applying,OS
Input/Output (I/O) Management,What is the role of a buffer in I/O operations?,To hold data temporarily while it is being transferred between devices,To allocate memory to processes,To schedule processes for execution,To provide an interface between the CPU and the memory,a,easy,understanding,OS
Input/Output (I/O) Management,What is the purpose of a file descriptor?,To identify a file that a process has opened or created,To allocate memory to processes,To schedule processes for execution,To provide an interface between the CPU and the memory,a,easy,understanding,OS
Input/Output (I/O) Management,What is the difference between a blocking and a non-blocking I/O operation?,In a blocking I/O operation the calling process blocks until the operation completes while in a non-blocking I/O operation the calling process does not block and can perform other tasks while waiting for the operation to complete,Blocking I/O operations are faster than non-blocking I/O operations,Non-blocking I/O operations are more efficient than blocking I/O operations,There is no difference between blocking and non-blocking I/O operations,a,medium,applying,OS
Security and Protection,Which of the following is not a type of malware?,Trojan horse,Worm,Firewall,Adware,c,easy,understanding,OS
